iter	Passed	Remaining
0	2	233
1	4	218
2	6	213
3	9	216
4	11	211
5	13	206
6	15	203
7	17	199
8	19	195
9	21	191
10	23	187
11	25	184
12	27	182
13	29	179
14	31	177
15	33	174
16	35	172
17	37	170
18	39	167
19	41	166
20	43	164
21	45	161
22	47	159
23	49	156
24	51	154
25	53	152
26	55	150
27	57	148
28	59	145
29	61	143
30	63	141
31	65	139
32	67	136
33	69	134
34	71	132
35	73	130
36	75	127
37	76	125
38	78	123
39	80	121
40	82	118
41	84	116
42	86	115
43	88	112
44	90	110
45	92	108
46	94	106
47	95	103
48	98	102
49	100	100
50	102	98
51	104	96
52	106	94
53	108	92
54	110	90
55	112	88
56	114	86
57	116	84
58	119	82
59	121	80
60	123	78
61	125	76
62	127	74
63	129	72
64	131	70
65	133	68
66	135	66
67	137	64
68	139	62
69	141	60
70	143	58
71	145	56
72	146	54
73	148	52
74	150	50
75	152	48
76	154	46
77	157	44
78	158	42
79	160	40
80	162	38
81	164	36
82	166	34
83	168	32
84	171	30
85	172	28
86	174	26
87	176	24
88	178	22
89	180	20
90	182	18
91	184	16
92	186	14
93	188	12
94	190	10
95	192	8
96	194	6
97	196	4
98	198	2
99	200	0
